types,tones,undertones,age,periode,content,buy,recommend,likes
dry, medium light, warm,18 and under,1 month - 3 months,toner dari hada labo ini dikulitku yg kering ini cukup melembabkan kulit  tidak bikin bruntusan dan jerawat tambah banyak dikulitku yg kering berjerawat ini  untuk packagingnya kecil enak dibawa traveling dan nggak mudah tumpah isinya ,shopee,recommends this product,3
oily, medium light, neutral,18 and under,1 month - 3 months,a must have product sih ini gilaa dia ngelembapinnya bagus poll sejauh ini aku cocok bgt dia gaad nimbulin reaksi negatif di kulitku dan dia tu lama bgt habisnyaa      tapi dia klo terlalu banya nnti bikin muka jadi kea lengket gtuu jadi aku stiap make dia cuman dua tetes dan itu udh ngelembapin bgt             ,shopee,recommends this product,2
oily, medium, neutral,18 and under,3 months - 6 months,bgss banget toner nyaa  teksturny light bener   kaya air  dan nyerap ke kulit juga cepat  ud sekitar 3 4 bulanan pake nggak ada tuh keluhan apa apa  malah wajah semakin kenyal bersih dan mulus  mungkin effek pake produk yg buat acne juga kali  but ini baguss  pemula wajib cobaa ,traditional market,recommends this product,0
oily, medium dark, neutral,19 - 24,1 month - 3 months,toner ini bagus tapi ya sekedar melembapkan aja  teksturnya cair  bening  gak ada wanginya jg  ringan banget dan lumanyan melembapkan  untuk harganya terjangkau  tapi ya gaada kesan spesial di wajah aku jadi gak bakal repurchase     ,shopee,recommends this product,6
combination, light, cool,18 and under,1 month - 3 months,ini bagus banget sih    awal aku pake ini tuh karena toner aku udah abis trus pengen beli lagi tapi duit tidak mendukung     jadilah coba beli ini karena reviewnya bagus2 dan murah pastinya ahaha     dan cocok lah ini di muka aku  suka banget mana murah lagi wkwk  recommend banget sih untuk pelajar          pasti repurchase sih cuman masih pengen coba2 yg lain hehe,shopee,recommends this product,1
dry, light, warm,19 - 24,3 months - 6 months,krn cuaca yg dingin  kulitku jadi kering  merasa butuh bgt sama produk yg hydrated trs belilah ini  lumayan untuk bikin kulit jadi lembab  teksturnya cair  baunya netral  wajahku yg agak ngeletek jadi biasa lagi  cuma emg fokusnya buat ngelembapin aja  nggak mencerahkan dll,lazada,recommends this product,0
combination, medium, neutral,18 and under,3 months - 6 months,ini toner pertama akuuuuu  kulit akutu kombinasi cenderung kering  toner ini bener   melembabkan  dan mengurangi kemerahan bekas jerawat  teksturnya cair  bening  superr ringan  repurchase  yessssss       ,shopee,recommends this product,0
combination, medium, neutral,18 and under,1 week - 1 month,walaupun skin type aku combi to oily tapi tetep oke di pake di wajah aku  ngga bikin breakout sm bruntusan  ngga bikin over moist juga  harganya ngga terlalu mahal  affrodable bgt pokonyaa oiya menurutku ini salah satu toner gentle yg harganya terjangkau,shopee,recommends this product,0
normal, medium light, warm,25 - 29,more than 1 year,pertama kali cobain ini karena direkomendasiin temen  karena kulit aku kering bangetkan  jadi disaranin buat pakai face lotion ini  gak bikin tacky or greasy  enak aja pakenya  konsistensinya juga superlight kayak air     produk ini aku barengin sama the ordinary alpha arbutin  terus langsung pake sunscreen buat waktu pagi hari   ,century,recommends this product,0
combination, medium, warm,25 - 29,more than 1 year,debes fantastik for  bener bener my go to toner di kala dompet ini sedang meronta wkwk  kalau butuh hydrating toner yang affordable  plis cobain  harga 45ribuan dapet 100ml dan sesuai claimnya  bener bener ngasih kelembaban yang ciamik  kalau kulit lagi extra dry  tinggal dilayer  luv banget ,yogya junction 8,recommends this product,0
combination, medium light, neutral,18 and under,3 months - 6 months,toner kecintaankuu   harganya murah dan isinya banyak bangett ingredientsnya gaada yang aneh anehh  cocok buat kulit sensitif dry kayak kulitku  teksturnya sedikit thick daripada tonerku yang lain namun masih gampang buat diapply di wajah wanginya juga gaada yang aneh aneh,shopee,recommends this product,1
normal, medium light, cool,18 and under,1 week - 1 month,kurang cocok sih di aku  tiap pake pasti muka langsung gatel dan beruntusan  tapi dia lumayan bikin lembab  tekstur nya lotion agak cair dan warna bening  isinya lumayan banyak   harganya juga terjangkau,watson,recommends this product,2
combination, medium dark, neutral,19 - 24,more than 1 year,my holy grail  pake ini benar2 bikin muka lembap dan juga kenyal  selain itu  dia juga buat muka jadi keliatan glowing  awal memulai untuk pakai skincare dan sampai sekarang masih pake produk ini walaupun pas viral di tiktok jadi susah banget dicari ,shopee,recommends this product,0
combination, medium, neutral,19 - 24,1 week - 1 month,sayang banget dia ga cocok di kulit gue malah bikin muncul jerawat  dan kurang membabkan  padahal  lumayan banget kalo cocok soalnya dia murah dan gampang banget dicarinya  produk ini teksturnya cair banget dan warnanya bening  sampe sekarang produknya masih mayan banyak dan bisa dipake buat di leher dari pada mubazir ,shopee,doesnt recommend this product,0
combination, light, neutral,19 - 24,6 months - 1 year,aku udah pakai ini hampir setahun  dan gimana hasilnya  sukaaaaaaa bangeeet  di aku yang sensitive  dia ga bikin jerawatann dan gampang menyerap  kadang aku juga ga pake mosturizer lagi karna ini cukup melembabkan di kulitku satu botol kecil itu juga lamaaa banget habisnya  aku udah mau setahun pakai dan ini baru botol kedua  bahkan masih ada setengahnya  cintaaa banget  3,watson,recommends this product,0
normal, medium light, warm,19 - 24,more than 1 year,toner kesayangaan  jujur sekarang aku lagi pake botol ketiga  karena sebagus ituuu     sangat ngelembabin kulit wajah aku yang kering  cepet nyerap dan bisa dipake berlayer layer  dan bisa dipake berlayer layer  apalagi kalau dipake buat skincare routine malem  pas wudhu buat sholat subuh tuh kulit muka rasanya sehat banget    ,shopee,recommends this product,0
combination, medium light, neutral,19 - 24,3 months - 6 months,suprisingly meskipun klaimnya for normal to dry tapi dikulitku yang kombinasi cenderung oily ini cocok cocok aja  teksturnya gak secair yang strip ijo dan gak sekental yang premium  in between gitu loh  jujur aku malah lebih suka varian yang ini dan udah repurchase berkali kali  efek hidrasinya mantep  gak lengket  dan lumayan cepet nyerap  buat csm an juga oke banget  very recommended,shopee,recommends this product,13
combination, medium light, neutral,19 - 24,more than 1 year,toner terfavorit aku dari segi fungsi  kenyamanan  dan tentu saja harga hehe  claim yang aku rasakan after pakai ini setahunan adalah wajah aku jadi lebih sehat  lembap  engga kering dan gak kasar or bertekstur lagi  nge skip toner ini dalam urutan skincare pasti rasanya kurang banget  kalau lagi jerawatanhormonal biasanya aku bakal puasa skincare kecuali hada labo ini dan sunscreen  pokoknya ini rekomended banget dan bakal aku repurchase terus,shopee,recommends this product,0
combination, medium dark, neutral,19 - 24,more than 1 year,toner terfav bgttt udh cocok bgt sama ini     bener2 ngelembabin bgt  terus juga mudah menyerap  udah repurchase berkali kali jg  muka ku yg semulanya kering di bagian hidung  balik seperti semula lagi dgn pemakaian rutin    ,aeon,recommends this product,0
combination, medium light, cool,19 - 24,3 months - 6 months,mungkin karena kulitku ada oilynya  jadi merasa  too much  pake ini di daily routine  belum pernah coba yg light lotionnya sihh apakah yg itu akan lebih cocok di aku  tp produk hadalabo emg gak diragukan hydratingnya ya  ini kupakai kalo lagi butuh extra hidrasi  kadang juga kupake buat csm wkwk kalo dijadiin masker gitu di aku sih enak ,watson,recommends this product,0
dry, medium, neutral,18 and under,more than 1 year,hydrating toner pertama aku  cocok bgt buat kulit super kering dan sensitif karena free alkohol  free parfume  free pewarna  pake ini juga awet  bisa 3bln   pakenya cukup 2 3 tetes aja uda ngelembapin banget  repurchase  ofc yessssssss,shopee,recommends this product,0
normal, medium light, warm,19 - 24,more than 1 year,    tonerr terr                                             bikin lembab  cepet meresapp  murah  awett jugaa  100ml bisa 3 bulanan gituu kan awet bangett  kalo pake cukup 3 tetes aja buat satu muka  teksturnya cair  bening gituu  ingredientsnya juga ngga macem macem  yaa karna tujuannya cuma ngelembabin    ,shopee,recommends this product,0
combination, medium, warm,18 and under,1 month - 3 months,toner terbagus banget buat kulit sensitive oily     walaupun klaimnya buat kulit kering  tpi kulit berminyak sabiii pake inii      tempatnya kokoh dengan tutup flip flop  memudahkan banget buat kita   hargannya murah  no alcohol  no fragrance  aman buat kulit sensi  oil control nya lumayan      kurang hydrating si ,shopee,recommends this product,0
combination, medium light, neutral,30 - 34,more than 1 year,hydrating toner yg efektif dan gampang dicari  toner ini ringan  teksturnya seperti air dan cepat meresap  kalau lagi butuh hydrating toner yg basicnya hyaluronic acid  aku selalu kembali ke produk ini  ingredientsnya simple  tapi bener bener bisa menghidrasi kulit dengan baik ,shopee,recommends this product,0
combination, medium, neutral,19 - 24,3 months - 6 months,toner hydrating yg sebenernya teksturenya aga samankek pyunkangyu  cair tp agak thick  melembabkannya dapet bangett  harganya affordable lagii awett buat 2 bulan atau bahkan lebih    ya walaupun kadang lupaa  tapi diaku  setelah cuci muka kan cerah itu wajah  habis dipakein hadalabo jd kek turun tone nya kek kusem  ,shopee,recommends this product,0
dry, medium, neutral,18 and under,3 months - 6 months,beli barengan sama gokujyun face wash   moisturizing milknya  langsung cocok dan beneran bikin lembab  teksturnya cair aja gitu tapi kalo udh di apply ke muka kerasa nyaman bangett apalagi habis cuci muka jadinya seger  harganya terbilang murah dan habisnya lumayan lama jd praktis deh,shopee,recommends this product,0
combination, medium, neutral,19 - 24,6 months - 1 year,aku udah 2 kali beli hadalabo toner yang strip orange ini  hasilnya emang bener bener bagus hydrating toner yang satu ini  emang ngelembabin dan bikin lumayan cerah juga  tetapi sayang banget kenapa harganya sekarang agak mahal ya  huhu        ,shopee,recommends this product,4
dry, light, neutral,19 - 24,3 months - 6 months,toner yg ku pake siang malam  melembabkannya dapet buat kulit yg kering kok  harganya juga murahhh  udh repurchase berkali2  ga ada efek apa2 sih selain melembabkan aja hehe  worth to buy karna murah    ,shopee,recommends this product,0
oily, medium, neutral,19 - 24,1 month - 3 months,tadinya pakai yg stripe hijau  for oily skin  tp ya ampun dicarinya susah  kalo lagi kosong dimana2 juga kosong  akhirnya nyoba ini karena masih cair juga bukan milky  ehhh ternyata enakan ini dong  even aku oily  ini melembabkannya lebih kerasa  agak kental tp ttp cepet juga meresapnya  masih mirip sama ingredients nya cuma beda tekstur aja sedikit ,shopee,recommends this product,0
combination, medium, neutral,35 - 39,less than 1 week,aku pertama kali pake ini krn murah dikantong dan reviewnya bagus2  jd ceritanya mukaku sebelum gatel2 krn pake produk yg baru merk a  aku diemin mukaku selama seminggu  cm pake face wash erha aja  bedak pun aku ga pake krn dirumah aja kan  nah trus aku beli si dia nih  belum seminggu pake ada perasaan gatel jg  walau ga separah wkt pk produk sblumnya  udhlah stop dr pd kenapa2 kan,toko natural kosmetik banda aceh,doesnt recommend this product,0
combination, medium, warm,19 - 24,1 month - 3 months,nangis bgt kenapa gk dari dulu nyoba ini huhuhuhu aku rekomen bgt buat kalian yg lagi nyari  toner affordable tpi enak di muka  hydrating abis  pas di pake tuh nyessss seger parah  kyknya bakal repurchase,muara cosmetic,recommends this product,1
oily, medium light, neutral,19 - 24,more than 1 year,moisturizer yg aku repurchase berkali kali  bagus karena melembabkan dan gampang menyerap ke muka  kalo misal pake make up  enakan pake moisturizer yg cair gel gitu jadi ga bikin cakey di muka hehe  repurchase  yes  ,watson,recommends this product,1
combination, medium, neutral,30 - 34,6 months - 1 year,pake ini pertama kali pas gw lagi hamil anak pertama   jadi emang nyari toner yg melembabkan tp yg bahannya ga aneh2 n lagi skipcare waktu itu   cleansing   toner   moisturizer   nah toner ini nih enak di pakenya   adem   teksturnya cair ringan tapi melembabkan  karena sekarang di kulit gw yg udh lebih kering ini jadi kurang nampol pake ini   buat yg mukanya berminyak bakal suka deh pake ini   murah pula   gaaaaas,shopee,recommends this product,12
combination, medium light, neutral,18 and under,1 month - 3 months,bagusss bangettt inii toner yang paling aku sukai uda bagus murahh lagii pertama kali pake aja udaa bikin muka aku lembab gtuu and kalo agak cerahan itu wktu beberapa minggu pkonya bagus bgt deh buat aku kulit aku lembab kenyel gtuu thankss hada laboo d,daisy,recommends this product,0
oily, medium dark, warm,19 - 24,6 months - 1 year,asli ini bagus banget  walau kulitku oily  aku tetep lebih suka varian ini dibanding yang light lotion karena jauh lebih melembabkan  kalo rutin pake inituh muka berasa sehat aja gitu  kulit jadi kenyal dan lembab  hemat juga dipakenya karena 3 tetes aja uda basah semuka  wajib coba ,shopee,recommends this product,0
oily, medium light, neutral,19 - 24,3 months - 6 months,aku cocok pake toner ini  cuman memang ga bisa makenya sehari dua kali gitu nanti bakalan tumbuh jerawat kecil  mungkin buat kulit oily dia overhidrating  selebihnya enak  bikin kulit terhidrasi dan besoknya kenyel gitu pas cuci muka ,shopee,recommends this product,0
normal, medium light, cool,30 - 34,3 months - 6 months,akhirnya habis stlh ckp lama  teksturnya lnh runny dr yg premium kuning  cepet menyerap dan selalu kupakai di am pm routine ga ada masalah di kulitku yg emang kalem ini  tp ga akan repurchase krn lbh suka sm yg premium sih ,tokopedia,recommends this product,0
oily, light, neutral,30 - 34,6 months - 1 year,one of my fav hydra toner  very worth it  kualitasnya okeee plus harganya sgt terjangkau  teksturnya agak kental dan cpt menyerap  aku pakai di am pm routine dan biasanya bisa sampai 5 layer  bikin lembab tapi ga hinyai if you know what i mean  ini udah repurchase ke 3xnya dan sepertinya akan repurchase lagi  ,guardian,recommends this product,1
oily, medium light, neutral,18 and under,1 month - 3 months,favoritttt gue bangettt siii  ngelembabin dapet bangetttt  super duperr calming kemerahan kalo ada jerawatt  teksturrnya aga kentel gitu  lama pemakaian ada efek glowingg  hidrasi mantep bgtt  sukaa pokonyaa dehhh,shopee,recommends this product,0
combination, light, neutral,19 - 24,1 month - 3 months,ini penyelamat kulit iritasi gue  jujur ini ingredientsnya simple minimalis tp emg kalo org kulit sensitif   iritasi  kuncinya adalah gak perlu byk2 produk   bahan2 yg dipake gausah yg aneh2  terlalu byk  jadi cukup yg simple minimalis sesuai kebutuhan  waktu itu pernah skin barrier rusak karena over exfoliate dan akhirnya kulit jadi iritasi merah2 trus pake apa aja kebakar perih gitu   itu bener2 awal perjalanan mulai skincare dan perhatiin kulit  nemu video femaledaily ibu affi assegaf rekomendasi produk inii  akhirnya ga pake lama ga pake mikir lgsg beli  bagus bgt  kulit aku suka  ngebantu meredakan kemerahan dan cepat recoverynya  seminggu kemudian kulit aku udh jauh membaik bgt  udh gak reaktif dan gak sensitif lagi  super happy  jadi kalo yg kulitnya sensitive  skin barrier damaged  wajib coba ini apalagi harganya affordable bgt  jadi sangat worth to try sist  ohya meluruskan kenapa bintang 4  karena tbh gue lebih suka produk yang punya ingredients2 unik  yg jarang ditemuin gt  yg top ingredientsnya bener2 ekstrak apa gitu  kalo hada labo yg ini ingredientsnya mudah ditemukan di produk2 skincare pada umumnya gt  jadi kayak gue pengen dpt nutrisi lebih aja  tapi bukan berarti produk ini jelek ya  bagus bgt kok  cuman emg kalau kulit gue ud normal kayak skrg  gue fokusnya udh bkn memperbaiki skin barrier lg  tp udh lebih ke produk2 yg buat boost collagen  anti aging  antioxidant tinggi  dll  so  still  recommended  ,shopee,recommends this product,1
combination, medium, neutral,18 and under,1 month - 3 months,toner ini melembabkan kulitku banget si setelah pake ini muka ku jadi lebih lembut kenyal dan agak glow gitu mungkin karena fungsi toner ini melembabkan ya tapi ini emang bangus banget si harganya murah tapi sebagus itu ,shopee,recommends this product,0
dry, medium light, warm,18 and under,1 month - 3 months,toner dari hada labo ini dikulitku yg kering ini cukup melembabkan kulit  tidak bikin bruntusan dan jerawat tambah banyak dikulitku yg kering berjerawat ini  untuk packagingnya kecil enak dibawa traveling dan nggak mudah tumpah isinya ,shopee,recommends this product,3
combination, light, neutral,19 - 24,1 month - 3 months,kecintaankuuuu  setelah pusing nyari toner yang cocok akhirnya nemu juga si hadalabo ini  teksturnya kental dan melembabkan banget  aku biasanya pake 3 5 tetes dan pas muka masih basah efek melembabkannya dapet banget dan bikin kulit kenyal,shopee,recommends this product,0
combination, medium, neutral,19 - 24,1 month - 3 months,ini ternyata hydrating toner  awal nya aku kira ini adalah moisturizer v  ini produk rohto aku kira bakalan nggak cocok  tapi ternyata aku cocok dengan toner hadalabo ini  toner ini awet banget udah hampir 3 bulan tapi baru habis setengah  tekstur nya kental tapi cepet banget nyerap dikulit  melembabkan nya oke banget  gak terasa lengket  aku waktu itu salah ambil  harus nya yang hijau kali ya soal nya type kulit ku kombinasi  tapi ternyata cocok dikulit ku  syukur deh,guardian,recommends this product,4
oily, medium, warm,18 and under,1 month - 3 months,awalnya bingung mau beli yang ini atau yang light lotion karena kulit ku oily  akhirnya memutuskan untuk beli yang strip orange ini dan sukaaa  super lembab dan cepat meresap ga ada fragrance dan karena kulit lembab tekstur kulit jadi lebih halus    ,guardian,recommends this product,4
combination, medium light, neutral,19 - 24,more than 1 year,karena kulit aku itu agak berminyak  jadi sebenarnya teksturnya si toner ini agak berat ya buat aku   tapi aku bisa lihat banget untuk kulit yg dry to normal  ini pasti jadi juaranya  apart agak berat sedikit teksturnya untuk kulit aku  semuanya sih top ya   aku ngga ada keluhan dan memang melembabkan banget ,hypermart,recommends this product,0
oily, medium, neutral,19 - 24,1 month - 3 months,kalo lagi cari aman pakek ini sii enak tapi dikulit aku yang berminyak kalo kebanyakan pakek jadinya berminyakk banget  lumayan lamaa keringnya kalo mau pakek sunscreen  teksturnya si agak kental jadi lumayan awet si kalo pemakaian,sardo,recommends this product,0
dry, medium light, warm,19 - 24,1 month - 3 months,1st toner yang bener bener improve kondisi kulit aku  kulit aku yang kering selesai cuci muka pasti kerasa keset  dan saat itu ada kejadian dimana kulit aku iritasi  merah merah dan ngelupas perih  dan setelah coba toner sana sini  yang paling cocok ya ini  pertama dia calming kulit aku  kulit aku yang merah merah   perih mereda setelah sekitar 1 2 minggu pemakaian  kedua  teksturnya enak banget watery tapi kerasa banget kalau dia ngelembabin on point deh  ketiga  wajah aku plump   lembab setelah kurang lebih 3 bulan pemakaian keliatan lebih sehat banget  intinya produk ini the best ga ada keluhan serius  mana murah     ,shopee,recommends this product,0
combination, medium, warm,19 - 24,1 month - 3 months,hydrating toner yg menurutku oke bangettt  harganya juga ramah di kantong pelajar  3 4 tetes udah cukup buat melembabkan wajah  awalnya kulitku kering banget sekarang kulit terasa lebih lembab dan sehat banget  bakal repurchase produk ini,shopee,recommends this product,0
oily, medium, warm,19 - 24,1 month - 3 months,awalnya kebeli ini karena mau beli yang ijo malah abis  di aku dia bikin lembab banget  1 layer aja udah cukup sih buat kulit aku yang oily  ga ada wanginya juga  tapi sayangnya dia bikin wajah aku makin berminyak jadi aku pindah ke yang light lotion  tapi buat hidrasi bagus bgt gais  kalian harus coba    ,traditional market,recommends this product,1
combination, medium, neutral,18 and under,less than 1 week,pertama nyoba yg ukuran 30 ml   udah tau sih kalo hadalabo tuh bagus bgt   pertama kali aku pakai produk ini lgsng jatuh cinta  bagusssbangetttt          pengen nangiss akhirnya dapet moisturizer yg emang bener   mantul bgt   dia itu ngelembabin bangett   dan dia itu gak bikin kulit jadi pliket gitu  malah aku ngerasa kulit halus  dan sejuk bagusss  kulit juga lebih halus terus glowi gitu lhooo  recommended nanti rencananya kalo udah habis mau beli lagi dan stok yg banyak hhh,shopee,recommends this product,0
dry, medium, neutral,18 and under,1 month - 3 months,top markotop     prodyk ini mntapppp bgt dgn harga segitu dan ukuran 100ml teksturnya sdikit kental dan licin2 gitu jdi efek melembabkannya ada bgttt  pdhal awalnya juga bingung bgt mau cari produk toner yg baru buat aku dan akhirnya nemu ini dgn harga yg msh cukup trjangkau di kantong akuu   super duper recommended buat kamu yg punya kulit kering,shopee,recommends this product,1
combination, medium, neutral,19 - 24,6 months - 1 year,pertama kali aku tau toner ini tuh dari temen aku pas kulit aku bener bener kering sampe ngelupas gitu aku di saranin pake toner ini dan aku coba hada labo goku jyun strip orange karna tipe kulitku dry to normal   dan pas pertama kali ku coba toner ini ampuh banget buat ngelembabib kulitku dan mengunci kelembaban kulit aku dan toner ini tuh gampang meresap di kulit  ga lengkey di kulit juga teksturnya ini mirip essence tapi yang watery dan sedikit kental jadi pas di apply gaperlu pake kapas dan ingridients nya aman banget buat yang kulit sensitif sekalipun  harganya pun pas di kantong  repurchase  pastinya ,shopee,recommends this product,0
dry, medium light, neutral,19 - 24,1 month - 3 months,jujur cukup bingung sama perbedaan fungsi dari varian hada labo ini  karna kulit aku kering jadi aku cari yang bisa melembabkan  dan produk yg ada warna orange di packaging nya ini klaim nya moisturizing  dan bener2 bisa melembabkan setelah dipakai  tekstur nya ga terlalu cair  dan ga lengket juga  mudah menyerap pas diaplikasiin nya   aku make ini am dan pm ,shopee,recommends this product,1
combination, medium, warm,18 and under,3 months - 6 months,awal   baru pake skincare dan langsung di rekomendasiin temenku hadalabo  jujur di kulitku yg combination oily ini bagus banget  soalnya aku kira tipe kuliku itu dry  gaada masalah apapun  malah ngurangin beruntusan di area tertentu  ini moist nya lebih dari cukup si  pokoknya yg bingung cari cari hydrating toner atau yg masih pemula harus cobain ini  sekian review singkat dari aku  bye bye  ,watson,recommends this product,1
combination, medium light, neutral,19 - 24,more than 1 year,hydrating toner fav sepanjang masa  udah pake ini hampir 3 tahunan  cocok banget di kulitku yang combi kering  kadang kalau lagi pengen pake toner yg lain juga tetep aku campur sama toner ini  no alkohol   no fragrance  cocok buat yg sensitif sama wangi aneh2 kayak aku ,hypermart,recommends this product,0
dry, medium, neutral,19 - 24,3 months - 6 months,toner ini bener bener menghidrasi kulitkuuu yaampun alhamdulillah dari kering jadi lembab  ditambah lagi harganya super affordable  tapi untuk daya serap cukup lama  harus ditepuk tepuk pake tangan kapas lebih lama untuk meresap   thats all,shopee,recommends this product,0
combination, medium light, cool,18 and under,1 month - 3 months,pake ini karna udah frustasi cari toner yang cocok buat kulitku tapi lagi lagi dikecewakan yang katanya aman buat kulit sensitif pemakaian personal kok rasanya panas gatel gitu sama padahal ga mengandung alkohol atau parfum nyesel di tiktok pada berhasil,shopee,doesnt recommend this product,0
dry, medium, neutral,18 and under,3 months - 6 months,ini first time aku pake produk ini dan ini udh sekitar 4 bulan pake produk ini  so far gaada yang aneh aneh dan ngelembapin banget di kulit aku yang kering kalo dipake sama moisturizing milk nya jadi super ngelembapin banget  mungkin next aku bakal repurchase karena ini bener2 hydrating bgt sesuai sama klaim produknya,dan+dan,recommends this product,0
oily, medium light, warm,18 and under,3 months - 6 months,dulu pernah pke ini  stripnya masih yg warna ijo susah dicari dimana2  tp skrg dah ganti kemasannya ya   aku balek pke ini lagi yg ke 2x nya krna blm nemuin toner yg bakal aku sayang  di aku dia gada efek apa2 sih  lembabin aja  minusnya aku gasuka sm teksturnya yg agak thick  pas diaplikasiin licin gitu jd lama nyerepnya,shopee,recommends this product,0
combination, medium light, neutral,19 - 24,more than 1 year,untuk melembabkan kulit yang pecah pecah sekalipun diwajah  dia juara umum sih  murah  gampang ditemui dimana mana  setelah pemakaian hada labo ini kulit aku super lembab  tapi dipagi hari ga bikin berminyak parah  aku pakai sebagai pengganti essance  dipakai sebelum serum dan setelah toner exfo,hypermart,recommends this product,0
normal, medium, warm,25 - 29,1 month - 3 months,hydrating toner yg ga aneh2  bkin kulit lembut  lembab  kulit jd kenyal  oke banget deh  buat jadi basic skincare rutin kalo abis nyoba produk lain dan tnyata ga cocok  balik lg ksini dulu  so far uda 3 bulan lebih pemakaian dan ngga ada efek samping jelek  worth it lah ga rugiii pokoknyaa ,shopee,recommends this product,0
dry, medium light, cool,19 - 24,more than 1 year,claimnya ini suitable for oily skin  tetapi buat yg kulitnya kering ini cocok kok  ini sebenernya bisa dijadiin toner cara pakenya tuang ke tangan yg bersih sesudah cuci muka dengan kondisi setengah kering lalu tinggal di tap tap aja ke wajah  harga affordable  berdaya guna  kandungannya ga aneh aneh  dan buat yg kulitnya kering juga masih oke buat dipakai ,shopee,recommends this product,2
oily, medium light, warm,19 - 24,1 month - 3 months,telat review hihii setelah pemakaian hampir 3bulan  ternyata lupa aku belum pernah review ini keracunan temen temen fd sih sebenernya ya emang aku rada telat mencobanya karna waktu itu masih nyoba produk yang lain ternyata ini bikin wajahku lembab halus juga ga bikin kulitku lengket meskipun tipe kulitku oily suka banget sih ini bakalan jd kecintaan      repurchase okeyy,shopee,recommends this product,2
combination, medium light, neutral,25 - 29,3 months - 6 months,toner ini sangat menghidrasi kulit  tp sayangnya kalau digunakan terlalu banyak jadi agak perih di wajah  untuk kulit kombinasiku  aku pakai ini aja tanpa moisturizer dan kelembabannya sih lumayan awet  kecuali ketika kemarau harus bolak balik apply ini dan sunscreen pada siang hari ,traditional market,recommends this product,0
combination, medium light, neutral,35 - 39,1 month - 3 months,moisturizing    absolutely not  begitu aku apply ke wajah  nggak butuh waktu lama langsung kulitku rasanya ketarik  aku coba pat pat di kulit  pakai kapas  olesin langsung  semua tehnik tetep bikin wajahku kayak diolesin alkohol  lebih sengsara lagi kalau dipakai di ruangan ber ac  setelah abis satu botol aku langsung pindah ke hada labo gokujyun yang alpha  baru aku ngerasa    moisturized    ,tokopedia,doesnt recommend this product,0
normal, medium, warm,19 - 24,3 months - 6 months,ini bagus bgt sih  teksturnya yang encer jadi cepet ngeresep sama emang bikin hydrating  murce banget dengan habisnya yang lama banget yang di aku bisa sampe 5 6 bulanan  dan dia ini paling basic bgt ga banyak omong yang punya klaim ini itu  jadi bikin muka aman aman aja,traditional market,recommends this product,0
normal, medium light, neutral,30 - 34,3 months - 6 months,toner wajib buat dry skin  selain harganya murah  melembabkan dapet banget  awal coba2 pas kulit kering mengelupas abis iritasi  memang sih perih krn msh merah2 abis mengelupas gitu cuma alhamdulillah worth it          non alkohol juga  sudah pasti bakalan beli lagi sih,tokopedia,recommends this product,0
oily, medium light, neutral,19 - 24,3 months - 6 months,hi gaes  this product is really worth it to try  kenapa   selain harganya affordable produk ini juga menghydrating kulit dengan baik  cocok buat jadi hydrating toner abis exfoliasi nih dan bikin kulit jadi kenyal gitu lohhh  terus ini juga awet banget dan ga cepet abis  dia aku 3 bulanan belom abis jadi untuk harga 30 40k dgn isi 100 ml ini worth it          ,shopee,recommends this product,1
oily, light, cool,25 - 29,3 months - 6 months,awalnya aku bingung ini tuh apa  dan sempet aku stop karna aku ngerasa tiba2 suka jerawatan  pas aku diemin kaya sayang gitu akhirnya dicoba lagi  jadi setelah semprot face mist aku pakein ini  malah sekarang kulit ngerasa lebih lembab dan lembut gitu jadinya  apalagi kalo abis pake exfoliating toner,shopee,recommends this product,0
combination, light, warm,25 - 29,less than 1 week,sepertinya aku kurang cocok dengan produk ini padahal aku pakai varian ini untuk facial wash nya dan cocok banget  di kulitku produk ini membuat wajahku terlalu lembab dan akhirnya bruntusan tapi sepertinya produk ini sangat cocok untuk kulit kering,brand website,doesnt recommend this product,1
oily, medium light, warm,25 - 29,1 month - 3 months,meskipun kulit aku berminyak  ini gak bikin kulit aku tambah berminyak  kalo pake ini skincare lain kerasa lebih meresap dengan baik  terus ini aku pake juga buat dry patch di tangan aku dan ngefek doong dry patchnya ilang  padahal biasanya pake vaseline patreloum jelly aja ga ngefek  cinta deh ,guardian,recommends this product,0
combination, medium, neutral,19 - 24,less than 1 week,teracuni produk ini krn katanya sebagus itu dan banyak reviewer yg bilang cocok  akhirnya sbg pemilik kulit kombinasi  aku beli dan pemakaian selama 3 hari gacocok dong muncul bruntusan di seluruh wajah  dan setelah aku cek ternyata dia gk paraben dan alkohol free  tp ttp rekomenin ini produk krn utk kulit yg non sensi banyak cocoknya jd dicoba aja biar tau hasilnya,shopee,recommends this product,0
combination, light, neutral,19 - 24,1 month - 3 months,bagus kok tonernya   dia teksturnya thick gitu ya jadi super hydrating dan aku suka banget sama toner dengan tekstur kayak gini  kandungannya juga aman nggak macem macem  harganya affordable banget  worth to try sih apalgi kalo masih pemula     ,shopee,recommends this product,6
