types,tones,undertones,age,periode,content,buy,recommend,likes
combination, medium, neutral,19 - 24,more than 1 year,a must have product    pake ini malem2  paginya muka bener2 kinclong  lembab  halus  and others  sumpah bener2 bagus sampe gabisa aku deskripsiin  lol  light bgtttt dan gampang bgt menyerapp  no weird smell dan yaaa udah repurchased terusss  ini botol ke 11 akuuu  3,watson,recommends this product,0
combination, medium, neutral,25 - 29,3 months - 6 months,kebetulan pake fw nya hada labo jadi coba2 toner nya juga  untuk harga super terjangkau ya  tekstur nya cair bening   lumayan gampang nyerap dikulit  tapi dikulitku malah bikin kusam   sedikit lengket  kalo untuk menghidrasi lumayan lah ,shopee,recommends this product,0
combination, medium, neutral,25 - 29,less than 1 week,toner ini biasa banget bekerjanya di mukaku  it   s nothing for me  sangat sangat tidak sukaa  facial washnya cocok padahal dikulitku  dan padahal banyak yang rekomendasiin toner iniiii  kayanya emang cocoknya buat yang skintypenya dry ,nyoba punya ade,doesnt recommend this product,0
normal, medium, neutral,18 and under,more than 1 year,ini emg agak ngebingungin ya namanya tapi ini tuh hydrating tonerrrr  aku gapernah coba toner yg fungsinya itu bener bener toner  dan akhirnya aku coba beli ini as my first hydrating toner and i love it   teksturnya kaya air cuma sedikittt lebih kental dan gaada warna bau which is good  formulanya jg gentle bagus buat kalian yang mau benerin basic skincare,shopee,recommends this product,0
dry, dark, neutral,19 - 24,less than 1 week,surprisingly  this product works quite well on my skin  ini produk pertama hada labo yg cocok diaku  lagi cari toner yg ada hyaluronic acid yg ingredientsnya gak neko   tp ini masih mengandung methylparaben  dg harga terjangkau akhirnya nemu dr hada labo  aku beli di toko skincare di kotaku harganya 38k isi 100ml  teksturnya kaya essence agak kental tp mudah menyerap kekulit  hydrating toner ini cukup melembabkan dan kalo dilayer gak berasa berat  terus juga bantu calming redness walaupun harus nunggu 24 jam  worth it bgt deh aku pake ini tiap hari  tiap habis wudhu  yuyur aku agak sayang kalo pake skincare yg pricey sementara cuma didalem ruangan  terus kaya durasi waktu sholat zuhur ke ashar dst  itu kayak sebentar bgt tp kulit butuh hidrasi jd ini toner mantul bgt sih  sejauh ini kulitku baik  saja  malah menurutku jadi kaya gampang menyerap nutrisi  dari skincare yg ada ingredients activenya ,traditional market,recommends this product,2
combination, medium dark, neutral,18 and under,3 months - 6 months,gilaa ga expectt bakal sebagus inii  hydratingnya pas di st ku combi oily to dry  kulitku yang sensitif juga alhamdulillah fine aja pake inii  abis pake ini lgsg lembabb kenyal gituu muka  a must have product sii  bakal repurchase siii fixx ini mahh,shopee,recommends this product,0
combination, medium, neutral,18 and under,less than 1 week,kulit type yang sensitif udh gontai ganti toner tpi ini menurut ku yg terbaik  aku punya sedikit beruntusan di jidat tpi berangsur membaik berkat produk ini kulit ku jadi makin alus dan sekarang aku jiga nyoba produk hada labo lainnya harganya cukup terjangkau bgt buat pelajar kya aku,shopee,recommends this product,1
oily, medium light, neutral,18 and under,more than 1 year,toner yang paling suka bgtt           murah bgt terus buat bikin lembab mah juaranya sih aplg buat dry skin yg super kering bgt kek aku bah mantap      kadang kalo muka lagi rewel merah merah gitu suka bgt di kompres pake hadalabo ini dan aku pakenya gak tanggung tanggung karena murah juga  gak ada efek negatif di aku sih jadi recommended bgt,shopee,recommends this product,0
normal, medium light, warm,19 - 24,3 months - 6 months,toner kesayangan  solusi untuk kulitku yang normal to dry  setelah make dia kulitku nggak sampai mengelupas area sisi hidung  terasa lebih sehat dan kenyal  teksturnya lotion dan harganya terjangkau  beli yang gedhe cukup banyak menghemat pengeluaran  i highly recomended  ,shopee,recommends this product,0
combination, medium, warm,18 and under,3 months - 6 months,ini kayaknya best toner deh  harganya murah  ingredient nya ga aneh aneh  buat melembabkan ini cukup baik buat semua jenis kulit  pakai beberapa tetes udah cukup buat seluruh wajah  kalau lagi ada jerawat juga jadi cepet sembuhnya  best hydrating toner        ,shopee,recommends this product,0
